sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
322	15	watched	32215	-8.2107	9.9923	0.45163679	10.3318	0.19931221	10.1078	0.08153152	9.8344	0.25471592	9.0211	0.35156393	8.8758	0.56316519	7.8301	0.9295187	6.6306	1.76475	6.0722	2.31137896
322	16	the	32216	-15.3366	3.0988	0.45032835	3.4833	0.19871521	3.2037	0.07957935	3.4041	0.12436819	2.0023	0.2356329	1.7468	1.13712883	1.5135	1.3067174	1.5666	1.72444344	1.3872	1.89022231
322	17	small	32217	-10.5626	9.6186	0.45119619	8.5777	0.20752048	7.9301	0.36862755	6.5924	0.98128128	7.324	1.25505877	7.4231	1.3744545	7.6034	1.77264404	7.3143	2.08199406	6.855	2.22028542
322	18	figure	32218	-9.198	10.0226	0.45084953	9.8882	0.20305109	9.3659	0.13813019	9.0926	0.25320339	8.8943	0.69943666	8.6676	0.88574123	8.6293	1.54835844	7.6094	2.02204752	7.5817	2.22981167
322	19	curl	32219	-5.112	9.8675	0.45069408	10.3322	0.20092964	10.6879	0.08760548	11.4267	0.16915369	12.042	0.39511633	12.9351	0.84270144	13.5208	1.2068069	13.6564	1.17203164	13.235	1.15852237
322	20	up	32220	-12.2438	7.7428	0.45110989	6.0944	0.20014477	6.3948	0.07878923	5.7048	0.14314747	5.8371	0.29389238	5.7247	0.74495554	4.3428	0.95906305	2.7699	1.40266299	2.0063	1.8693006
322	21	under	32221	-10.5161	9.3401	0.4510107	8.3793	0.19929838	8.1901	0.07888317	8.0941	0.30118752	7.3401	0.49476194	7.3459	0.73737764	6.6832	0.87745166	6.486	1.09870601	6.1696	1.20218754
322	22	his	32222	-11.9165	7.9819	0.45054054	6.7457	0.19974327	6.7781	0.08312225	6.3052	0.08109808	5.4739	0.63073158	2.957	1.12312174	3.4614	1.4563818	2.2442	1.82998371	2.1878	1.84361506
322	23	jacket	32223	-6.9117	10.3714	0.45052814	10.6786	0.20020485	11.0164	0.09080887	10.3237	0.45348263	9.9244	1.14318752	9.3594	1.58965158	8.7424	2.0802927	7.6025	2.78510237	7.3393	3.40910912
323	1	In	32301	-14.1592	5.9963		4.8818		4.7577		4.7758		4.4851		4.3398		4.5057		4.3596		4.4028	
323	2	the	32302	-15.3366	4.0882	0.94932938	2.9798	0.24116707	3.2519	0.14723015	1.2652	0.5619173	1.537	0.92230034	1.5021	1.38786697	1.6182	1.87866688	1.5718	2.03828001	1.8019	2.16345072
323	3	distance,	32303	-8.7704	9.6598	0.73081589	10.3405	0.19392872	9.7076	0.35850239	9.335	1.01359844	8.1464	1.27780628	8.3775	1.71239424	7.8066	2.26421356	8.0487	2.69279385	7.8968	2.85732031
323	4	the	32304	-15.3366	3.2655	0.53881741	3.2811	0.16994524	3.2296	0.07054472	3.5414	0.30255842	2.7961	0.58539534	1.9179	0.7996459	1.7665	0.93227434	1.8088	0.95342159	1.7699	0.97253704
323	5	walls	32305	-7.8047	9.6068	0.5045476	10.1212	0.1844511	9.8301	0.38263607	9.662	0.92859459	9.1939	1.26275492	8.8578	1.39969635	8.6455	1.51827526	8.0494	1.56304741	7.7544	1.58678293
323	6	appeared	32306	-8.3416	10.1708	0.48289347	10.5843	0.18563128	10.275	0.12472534	10.2037	0.20761299	9.6692	0.76179361	8.2328	1.10466385	8.0762	1.69512606	6.9189	2.09463787	6.8695	1.94905186
323	7	as	32307	-13.1578	5.649	0.47120905	5.2008	0.18972397	5.5274	0.07956982	5.0422	0.14014101	5.5162	0.37951756	5.3573	0.74521255	4.0863	1.11474752	4.062	1.41123486	4.3254	1.60822988
323	8	the	32308	-15.3366	3.1266	0.46397829	3.4561	0.19258881	3.213	0.06635284	2.2515	0.22627354	2.0905	0.46430969	2.5753	1.15960693	2.7347	1.42053699	2.9403	1.71406651	2.6196	1.68068695
323	9	outline	32309	-7.5294	9.7418	0.4602685	10.1829	0.20343018	9.9043	0.37326527	9.9095	0.9465332	10.0641	1.26387024	10.0502	1.40049744	9.8266	1.6561904	10.2158	1.91122341	10.2425	2.04497099
323	10	of	32310	-14.4818	3.738	0.45649242	4.0097	0.19997406	3.9723	0.13182592	2.7608	0.20328093	2.2885	0.47989988	1.4841	0.8755517	0.6747	1.65975237	0.9758	1.40553236	0.9154	1.483325
323	11	a	32311	-14.5303	3.8222	0.45399618	4.2451	0.19851542	3.9493	0.08230877	3.3839	0.46276522	3.3977	0.80004644	4.0813	1.11022329	3.1186	1.40375757	2.5802	1.74473023	2.5903	1.90735531
323	12	great	32312	-11.3892	8.574	0.45278311	6.719	0.20171642	6.9123	0.19410133	5.5292	1.08355999	4.8854	1.22489405	4.6858	1.43350649	6.1127	1.74141932	6.0973	1.9100771	6.111	2.05818129
323	13	dragon,	32313	-6.6921	9.9203	0.45193958	10.4209	0.20015335	10.6162	0.09745502	10.7759	0.41761923	10.7612	0.83582354	10.5994	1.2986455	10.311	1.82871199	9.1067	2.12735891	8.7073	2.29215336
323	14	curled	32314	-4.9904	10.0323	0.45061255	10.4703	0.19745159	11.0415	0.05486202	11.2474	0.27614117	11.6814	0.58485413	12.3453	0.58089876	12.4563	0.90355253	12.0158	1.09417915	11.68	1.25026035
323	15	and	32315	-14.5388	3.8355	0.4506588	4.0064	0.19914007	3.9862	0.06618786	3.0829	0.12731743	2.2295	0.32326078	1.9708	0.43864298	2.5556	0.57836628	2.676	1.4101615	3.5617	2.32199097
323	16	sleeping,	32316	-7.7774	10.0816	0.45060158	10.4054	0.19899273	10.5636	0.07462454	10.3169	0.26594019	9.6423	0.37173557	9.6563	0.54060078	8.9076	0.81979275	7.3735	1.54036236	7.2282	1.90136814
323	17	back	32317	-11.5436	9.0463	0.44955301	6.833	0.19698477	6.8851	0.05530596	7.1772	0.30496693	8.0764	0.41301155	7.6764	0.47443056	7.5558	0.66335583	7.2817	1.01637077	7.3719	1.10676718
